Trial	ObservationNumber	Tank	Treatment	UniqueTank	Observer	Individual1	Individual2	FacetofaceYN	AntennaeOnlyYN	StartTime	StartTimeMinutes	StartTimeSeconds	EndTime	EndTimeMinutes	EndTimeSeconds	Duration
3	29	7	5	28	Cari	G	O	0	0	11:41	11	41	11:42	11	42	1
4	29	11	7	41	Cari	C	O	0	0	15:06	15	6	16:30	16	30	84
1	30	6	11	10	Skylar	RG	P	0	0	39:05:00	39	5	39:34:00	39	34	29
2	30	10	9	20	Skylar	B	C	0	0	9:11	9	11	9:45	9	45	34
3	30	7	5	28	Cari	Y	O	0	0	24:36:00	24	36	25:15:00	25	15	39
4	30	11	7	41	Cari	Y	P	0	0	18:09	18	9	18:21	18	21	12
1	31	6	11	10	Skylar	B	RG	0	0	41:42:00	41	42	44:41:00	44	41	179
2	31	10	9	20	Skylar	Y	G	1	0	10:23	10	23	10:46	10	46	23
3	31	7	5	28	Cari	O	Y	1	0	29:41:00	29	41	35:53:00	35	53	372
4	31	11	7	41	Cari	Y	B	0	1	19:04	19	4	19:10	19	10	6
1	32	1	2	1	Skylar	R	O	0	0	25:35:00	25	35	35:50:00	35	50	615
2	32	10	9	20	Skylar	Y	O	1	0	12:25	12	25	13:23	13	23	58
3	32	4	12	35	Cari	R	G	0	0	0:00	0	0	1:20	1	20	80
4	32	11	7	41	Cari	C	P	0	0	26:54:00	26	54	29:45:00	29	45	171
1	33	2	13	12	Skylar	B	Y	0	0	0:00:00	0	0	3:35	3	35	215
3	33	4	12	35	Cari	RG	O	0	0	0:57	0	57	1:00	1	0	3
4	33	11	7	41	Cari	C	Y	0	0	39:19:00	39	19	39:47:00	39	47	28
1	34	2	13	12	Skylar	G	RB	0	1	0:00:00	0	0	0:01	0	1	1
2	34	10	9	20	Skylar	P	RG	1	0	16:20	16	20	17:52	17	52	92
3	34	4	12	35	Cari	RG	RB	0	0	1:33	1	33	1:52	1	52	19
4	34	11	7	41	Cari	B	C	0	0	44:32:00	44	32	45:00:00	45	0	28
1	35	2	13	12	Skylar	B	YG	1	0	4:52	4	52	5:18	5	18	26
3	35	4	12	35	Cari	YG	P	0	0	1:46	1	46	2:52	2	52	66
4	35	8	10	43	Cari	B	C	0	0	2:38	2	38	2:39	2	39	1
2	35.1	10	9	20	Skylar	C	O	0	0	18:21	18	21	19:20	19	20	59
2	35.2	10	9	20	Skylar	C	G	0	0	18:21	18	21	19:20	19	20	59
1	36	2	13	12	Skylar	PG	G	1	0	6:34	6	34	7:10	7	10	36
2	36	10	9	20	Skylar	R	Y	0	0	20:54	20	54	21:26	21	26	32
3	36	4	12	35	Cari	RG	RB	0	0	9:21	9	21	10:58	10	58	97
4	36	8	10	43	Cari	PG	O	0	0	6:37	6	37	7:20	7	20	43
1	37	2	13	12	Skylar	GB	RG	0	0	7:20	7	20	8:12	8	12	52
2	37	10	9	20	Skylar	O	G	0	0	31:13:00	31	13	45:00:00	45	0	827
3	37	4	12	35	Cari	YG	PG	0	0	9:28	9	28	10:22	10	22	54
4	37	8	10	43	Cari	R	O	0	0	10:01	10	1	10:34	10	34	33
1	38	2	13	12	Skylar	YG	G	0	0	11:55	11	55	12:48	12	48	53
2	38	10	9	20	Skylar	Y	RG	1	0	40:39:00	40	39	41:06:00	41	6	27
3	38	4	12	35	Cari	G	O	0	0	9:35	9	35	10:16	10	16	41
4	38	8	10	43	Cari	B	G	0	0	11:09	11	9	12:34	12	34	85
1	39	2	13	12	Skylar	G	RB	0	0	15:07	15	7	18:15	18	15	188
2	39	5	4	15	Skylar	G	R	0	0	30:57:00	30	57	31:20:00	31	20	23
3	39	4	12	35	Cari	RG	P	0	0	15:35	15	35	18:10	18	10	155
4	39	8	10	43	Cari	PG	R	0	0	12:04	12	4	12:54	12	54	50
1	40	2	13	12	Skylar	P	O	0	0	15:25	15	25	17:12	17	12	107
2	40	5	4	15	Skylar	G	O	0	0	39:09:00	39	9	45:00:00	45	0	351
3	40	4	12	35	Cari	B	Y	0	0	18:23	18	23	20:01	20	1	98
4	40	8	10	43	Cari	RG	R	0	1	15:48	15	48	15:49	15	49	1
1	41	2	13	12	Skylar	B	Y	0	0	20:22	20	22	25:50:00	25	50	328
2	41	6	11	22	Skylar	G	RB	0	0	1:53	1	53	5:13	5	13	200
3	41	4	12	35	Cari	YG	G	1	0	18:54	18	54	20:24	20	24	90
4	41	8	10	43	Cari	B	YG	0	1	18:24	18	24	18:25	18	25	1
